Date,InletT-Avg,OutletT,InletFlow,FGFlow,AmbientT,ExcessO2,DraftP,Density
5249,301.1576063669021,395.45861654421856,93.0165540220058,922.6049500838692,31.68575197543519,5.867098729426,-12.03569881830584,0.863
5250,301.2088422474329,395.49438676970783,92.98180688465656,925.3635003293597,31.037596471830206,3.431644989005693,-12.284694447913678,0.863
5251,301.11656734088655,395.55357336146756,93.00746627663844,925.1337599650727,30.083497115040927,4.797106173033106,-12.277313138178334,0.863
5252,301.17084871356496,395.61578950755194,92.99526262329479,924.2859355181944,29.542707533037056,3.9828538301154746,-12.082624592523535,0.863
5253,301.03527163780234,395.66441793635295,92.99626133891883,925.9234144841013,29.021027955913556,3.583093177383734,-12.209067034312566,0.863
5254,300.96726565292477,395.69435332989775,93.00471781864589,925.8798795930661,28.531939438292206,2.4127406817252974,-12.29133064364769,0.863
5255,301.0407291333421,395.69774292809086,92.9810730050732,926.6679658304163,28.06536158431412,5.104914990107786,-12.308246365992648,0.863
5256,301.0987234797377,395.67974178635836,92.98730533469019,926.2356021070212,27.676324977715346,7.767538000204936,-12.416137217768679,0.863
5257,301.1212429843349,395.614809245474,93.00211332205114,922.7560528155799,27.4675921142259,8.394378330414613,-12.71077904342223,0.863
5258,301.36660492534827,395.53015509943214,92.98414311711424,919.7466717592854,27.44817482037292,10.322773368952236,-12.661436443417083,0.863
5259,301.5557935834512,395.38024759733787,93.01258942903812,919.5089150371648,27.360434323908514,7.6506398221958625,-12.400062833153312,0.863
5260,301.24194643461465,395.2980450557847,93.00241912147703,921.2462453584876,27.299145427442305,10.904928040884577,-12.559243901915561,0.863
5261,301.1848338446825,394.79980893979854,93.00338485569935,917.3807159900128,27.12041670633485,9.74910417581237,-12.473239483098284,0.863
5262,300.0234365242391,394.4513475780275,92.99735990228268,923.6343743517084,26.996019733073894,8.0273149082399,-12.316150217868744,0.863
5263,299.88435329175866,394.36856420359953,93.00118393623224,924.1176790800566,26.941155878187875,8.84424787595098,-12.352311080329457,0.863
5264,299.75392019674973,394.3500193507838,93.01015195740747,925.3002800709286,26.905223452227858,9.575064860634818,-12.529681326308355,0.863
5265,299.4352807415979,394.3305591703822,92.98977518485643,927.1628819574461,26.88787571022084,9.077900959806032,-12.584266783061326,0.863
5266,298.0195877749021,393.76856737189985,92.98325163290883,935.4530707776591,26.926794863066846,7.487494422701225,-12.593792524869313,0.863
5267,297.1070994078169,393.574836906254,93.01266157678299,945.7265382482691,27.306918879461126,12.752505720809644,-12.418998520919379,0.863
5268,297.33026897567726,393.3446505668511,93.0275996240059,938.1083878819184,28.394437075398407,8.319372539290036,-12.396979204946042,0.863
5269,296.9396487407775,392.73453118524276,93.001122270991,939.9116451341066,29.633757156485423,7.472685865973801,-12.00736299433167,0.863
5270,297.0628022717533,392.6003882279693,93.00744962953429,938.3401638279481,30.70059570733242,7.6511390303957825,-12.224544191781371,0.863
5271,297.60487448764525,392.45666080393835,92.97633688956955,935.2577321162679,31.436429085593208,9.412786783149178,-12.262388454826414,0.863
5272,297.76061972510865,392.41001791967847,93.00837810703474,929.4526209938247,32.15237937874984,15.445754360900652,-12.389538088822722,0.863
5273,297.75969705761696,392.4277094781921,93.00398118246167,930.9210082900047,32.36487391911281,19.196760825941638,-12.452622564034813,0.863
5274,297.7395590061021,392.45220643904184,92.97831086238476,932.743811455007,32.63140605616165,21.810499173181004,-12.512197184599748,0.863
5275,298.01193176531035,391.7442330614326,93.0093531637829,921.5013634539296,32.695182478036976,16.654735965102237,-12.64355917503015,0.863
5276,296.16113173339374,391.00724520319994,92.99319679346151,931.0291114654357,32.13830672620546,10.421401424241072,-12.549790805914196,0.863
5277,295.81257867662623,390.8263366827719,93.00982185765645,931.6751380076705,31.588817696416925,8.512140643263802,-12.463948950085896,0.863
5278,295.6693642964448,390.7998426631714,92.9669722337866,932.5851979433577,31.10458414505809,9.071027744628415,-12.400508492973005,0.863
5279,295.9231853331486,390.76497571241964,92.9653188765523,932.3684858775277,30.63067019032272,9.636870350764552,-12.20314255820999,0.863
5280,295.8819560920509,390.6820692811412,93.02364912026155,934.4851775751893,30.170858749519304,8.738766487471157,-12.174426508980668,0.863
5281,295.65698033393153,390.6544949094571,92.99982850841795,935.346133468802,29.778819134229938,8.827427631987472,-12.387699532987453,0.863
5282,295.3952242777913,390.58013993265826,92.98048051561439,937.0516366453506,29.326567219760424,7.479346490907769,-12.139286695211391,0.863
5283,295.2810066850226,390.5765716120696,93.01690937019139,935.0899236386036,29.002603351640285,6.510100259197182,-12.117434149570451,0.863
5284,295.17785741644445,390.6042066151489,93.01524808899644,934.6280353748851,28.67418814860697,6.713409107307057,-12.138687759078293,0.863
